Alcohol;Malic_Acid;Ash;Ash_Alcanity;Magnesium;Total_Phenols;Flavanoids;Nonflavanoid_Phenols;Proanthocyanins;Color_Intensity;Hue;OD280;Proline;Customer_Segment
14.23;2.11;2.43;15.6;127;2.8;3.06;0.28;2.29;6.04;1.04;4.32;1065;1
13.2;2.18;2.14;11.2;100;3.05;3.16;0.26;1.28;4.38;1.05;3.4;1050;1
13.16;2.36;3.07;18.6;101;2.8;3.24;0.3;3.21;6.08;1.03;3.17;1185;1
14.37;2.35;2.5;16.8;113;4.25;3.49;0.24;2.18;7.8;1.26;3.45;1480;1
13.24;2.59;3.27;21;118;2.8;3.09;0.39;2.22;4.32;1.04;3.33;735;1
14.2;2.16;2.45;15.2;112;3.27;3.39;0.34;2.37;7.15;1.05;3.25;1450;1
14.39;2.27;2.45;14.6;96;;2.52;0.3;2.38;5.25;1.02;3.58;1290;1
14.06;2.15;3.01;17.6;121;2.6;2.51;0.31;1.25;5.05;1.06;3.58;1295;1
15.23;2.04;2.17;14;97;2.8;3.38;0.29;2.38;5.2;1.08;3.25;1045;1
14.26;1.35;2.27;16;98;3.38;3.15;0.22;2.25;7.22;1.01;3.55;1045;1
14.1;2.16;2.3;18;105;3.35;3.32;0.22;2.38;6.15;1.25;3.17;1510;1
14.12;1.48;2.32;16.8;95;2.2;2.43;0.26;1.57;5;1.17;3.22;1280;1
14.15;2.13;2.41;16;89;2.6;3.16;0.29;2.21;5.6;1.15;2.9;1320;1
15.15;2.13;2.39;11.4;91;3.1;4.09;0.43;3.21;5.4;1.25;3.13;1150;1
14.38;2.27;2.38;12;102;3.3;4.04;0.29;3.36;7.5;1.2;3;1547;1
14.03;2.21;2.7;17.2;112;3.25;3.31;0.3;1.46;7.3;1.28;3.28;1310;1
14.3;2.32;3.12;20;120;2.8;3.14;0.33;2.37;6.2;1.07;3.05;1280;1
14.23;1.57;3.02;20;115;3.35;3.4;0.4;2.12;6.6;1.13;2.57;1130;1
14.19;1.59;2.48;16.5;108;3.3;4.33;0.32;2.26;8.7;1.23;3.22;1680;1
14.04;3.1;2.56;15.2;116;2.7;3.03;0.17;2.06;5.1;1.36;3.36;845;1
14.06;2.03;2.28;16;126;3;3.17;0.24;2.1;6.05;1.09;4.11;780;1
13.33;3.8;3.05;18.6;102;2.41;2.41;0.25;2.38;4.5;1.03;3.52;770;1
14.11;2.26;2.36;16.6;101;3.01;3.28;0.27;2.09;3.8;1.11;4;1035;1
13.25;1.6;2.52;17.8;95;2.48;2.37;0.26;1.46;4.33;1.09;4.03;1015;1
13.5;2.21;3.01;20;96;2.53;3.01;0.28;2.06;3.52;1.12;4.22;845;1
13.05;2.05;3.22;25;124;3.03;3.08;0.47;2.32;3.58;1.13;3.2;830;1
13.39;2.17;3.02;16.1;93;3.25;3.34;0.34;1.45;4.8;1.32;3.22;1195;1
13.3;2.12;2.14;17;94;2.4;2.19;0.27;1.35;4.35;1.02;3.17;1285;1
14.27;1.9;2.8;19.4;107;3.35;3.37;0.37;2.16;4.5;1.25;3.4;915;1
14.02;2.08;2.21;16;96;3.05;2.33;0.26;2.38;4.7;1.04;3.59;1035;1
14.13;1.5;2.7;22.5;101;3;3.25;0.29;2.38;5.7;1.19;3.11;1285;1
13.58;2.06;2.36;19.1;106;3.26;3.19;0.22;2.35;6.9;1.09;3.28;1515;1
14.08;2.23;2.36;17.2;104;2.42;3.09;0.42;2.37;4.24;1.23;3.27;990;1
14.16;1.53;2.7;19.5;132;3.35;3.14;0.5;1.35;5.4;1.25;3;1235;1
